config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
R24,3,0.0,0.0,1.0,25.0,1.7340346595927103,0.16,0.164,0.0016,1.154484589158072,1.5711469244862364,0.8399363608379803,0.5548910910696673,0.35292339930607763,-0.02764257752872189,,,,0.08218484340693544,500
R24,4,0.0,0.0,1.0,25.0,2.2268840442053506,0.156,0.16,0.00156,1.5464039389595006,1.4925629377292244,0.8718169563308927,0.712602894145712,0.41524305803700806,-0.0021412010776175874,,,,0.19997947285421463,500
R24,5,0.658,0.03,0.312,22.2025,2.306638231596791,0.568,0.582,0.010446110449736432,1.0365549788646677,0.9183108258794962,0.9067098403448094,0.835539871663532,0.45693004099973267,0.08213769027479768,21.184650455927052,2.2737539306001358,1.0086443523556747,0.43114376919317576,500
R25,0,0.958,0.044,0.0,15.631,1.9476308482654285,1.03,1.036,0.01846383246119493,0.5307280866058965,0.6584718353797442,0.9725108456498972,0.9967144948325566,0.5301808303981554,0.125334112847709,15.938413361169102,1.9860670044160382,0.5247301650425232,0.43917171766153795,500
R25,1,0.984,0.024,0.0,16.2425,2.0102591770736673,0.75,0.756,0.011718614758521486,0.47640408183270044,0.6954365664466963,0.9887952865173723,0.9901166047382053,0.5133378422169771,0.12130630965330128,16.30640243902439,2.018219443528012,0.4785422763843229,0.4611070478136094,500
R25,2,0.964,0.04,0.0,15.5845,1.9387591200531684,1.03,1.036,0.01952621870797853,0.45883705177292505,0.6541927768463526,0.9864993225537019,0.9949209322838428,0.5370213824874791,0.1254153570339516,15.828319502074688,1.9692493780347209,0.4495985424302431,0.45433050783996715,500
R25,3,0.966,0.038,0.0,14.3095,1.7809318599818476,1.306,1.31,0.025158140031117375,0.4985239486766045,0.5850059061169804,0.9795530962867197,0.9952482761642771,0.5816343965782004,0.13611593861300594,14.5527950310559,1.81141208916032,0.48524734542467296,0.44667153233961426,500
R25,4,0.96,0.054,0.0,15.0515,1.8718441106911077,1.144,1.148,0.021705569095203565,0.5148568513577207,0.6055519367559941,0.9859233679188044,0.9945502637472458,0.5472744242458845,0.12847687135786864,15.2859375,1.9012974512108967,0.5087777708504854,0.4223953375785586,500
R25,5,0.968,0.038,0.0,15.8095,1.966415514721839,0.88,0.886,0.016116137622176195,0.5171970958153974,0.6984385466961276,0.9794370739199225,0.9948461468828214,0.5284947560182326,0.12494443253960431,16.0650826446281,1.9983097101973597,0.5146348848909893,0.44698419551622826,500
R34,0,0.0,0.0,1.0,25.0,3.124957662160977,0.136,0.142,0.00136,0.33649637020030715,1.6513417563995092,0.42031011816905023,0.9999864518915126,0.9786924483949536,-0.24339566083111094,,,,-0.50022733425349,500
R34,1,0.0,0.0,1.0,25.0,3.125,0.162,0.168,0.0016200000000000001,0.19507753318986076,1.6432919381256579,0.46169843664643795,1.0,0.9880103261748664,-0.2463985612963487,,,,-0.5002757827099412,500
R34,2,0.0,0.0,1.0,25.0,1.9857193157167006,0.136,0.14,0.0013599999999999999,1.797194819264237,1.5298510259807185,0.8252064459700909,0.6354301810293441,0.43323931849066755,-0.012995533903209743,,,,-0.5001804084777832,500
R34,3,0.0,0.0,1.0,25.0,2.9322997801075026,0.132,0.138,0.00132,0.37767291156430943,1.63907004568455,0.8983155762753051,0.9383359296344008,0.9156356341971819,-0.20901413641434857,,,,-0.5001726576955989,500
R34,4,0.0,0.0,1.0,25.0,3.120807422461881,0.152,0.158,0.00152,0.21872195387792193,1.6477793797885874,0.5108443114788689,0.998658375187802,0.9852311777687057,-0.24409777999446167,,,,-0.5001607006583363,500
R34,5,0.0,0.0,1.0,25.0,3.1228937387214835,0.178,0.184,0.0017800000000000003,0.2730649247931003,1.6343297032705835,0.5242030990012491,0.9993259963908746,0.9793095299105926,-0.24381777333706064,,,,-0.5003431190857663,500
R35,0,0.0,0.0,1.0,25.0,3.109960956314215,0.196,0.202,0.0019600000000000004,0.10747460897239876,1.6060788717620635,1.0,0.9951875060205487,0.9386527472778802,-0.17868523112088538,,,,-0.5168197471499443,500
R35,1,0.0,0.0,1.0,25.0,3.107010821800253,0.24,0.246,0.0024,0.09919982481080777,1.6106566397457782,1.0,0.9942434629760809,0.9404030017415396,-0.17825331830579427,,,,-0.5162290509166196,500
R35,2,0.982,0.028,0.0,14.6805,1.828004758780441,1.168,1.172,0.019773641085048817,0.5406648933528447,0.6039230795906801,0.9668812460056735,0.9961291423352975,0.5564402754232314,0.13305345983709152,14.787169042769857,1.841308409115301,0.5386001300125152,-0.3694673680132255,500
R35,3,0.958,0.05,0.0,16.6695,2.0698015034571826,0.802,0.806,0.01500770939998308,0.4110037993860415,0.7017730432684983,0.9949332654987353,0.9926459968042672,0.5004382436818565,0.11592432227070103,16.92640918580376,2.102035125531033,0.40172714617193617,-0.42860347659233955,500
